84.95 $ \pm $ 3.25,95.08 $ \pm $ 0.65,96.18 $ \pm $ 0.60,96.18 $ \pm $ 0.62
87.59 $ \pm $ 3.34,95.96 $ \pm $ 0.96,96.68 $ \pm $ 0.56,96.11 $ \pm $ 0.48
