0.65 $ \pm $ 0.00,1.43 $ \pm $ 0.09,2.34 $ \pm $ 0.14,2.94 $ \pm $ 0.17
1.30 $ \pm $ 0.01,2.98 $ \pm $ 0.22,4.99 $ \pm $ 0.41,6.04 $ \pm $ 0.48
