92.00 $ \pm $ 5.10,95.00 $ \pm $ 3.16,93.00 $ \pm $ 5.10,96.00 $ \pm $ 3.74
92.00 $ \pm $ 5.10,95.00 $ \pm $ 4.47,94.00 $ \pm $ 3.74,93.00 $ \pm $ 4.00
