0.00 $ \pm $ 0.00,0.00 $ \pm $ 0.00,0.01 $ \pm $ 0.00,0.01 $ \pm $ 0.00
0.01 $ \pm $ 0.00,0.01 $ \pm $ 0.00,0.02 $ \pm $ 0.00,0.02 $ \pm $ 0.00
