95.74 $ \pm $ 0.67,98.90 $ \pm $ 0.49,99.22 $ \pm $ 0.28,99.22 $ \pm $ 0.28
96.34 $ \pm $ 0.51,98.81 $ \pm $ 0.46,99.28 $ \pm $ 0.27,99.28 $ \pm $ 0.27
