0.55 $ \pm $ 0.01,1.08 $ \pm $ 0.06,1.62 $ \pm $ 0.08,1.60 $ \pm $ 0.07
1.09 $ \pm $ 0.02,2.30 $ \pm $ 0.16,3.41 $ \pm $ 0.24,3.35 $ \pm $ 0.28
