93.33 $ \pm $ 4.71,94.67 $ \pm $ 2.67,94.67 $ \pm $ 2.67,93.33 $ \pm $ 4.71
94.00 $ \pm $ 4.90,94.67 $ \pm $ 2.67,94.67 $ \pm $ 2.67,94.00 $ \pm $ 4.90
