95.63 $ \pm $ 1.52,96.78 $ \pm $ 2.11,96.09 $ \pm $ 1.72,95.63 $ \pm $ 1.34
95.63 $ \pm $ 1.84,97.24 $ \pm $ 2.00,96.32 $ \pm $ 1.84,96.32 $ \pm $ 1.84
