0.02 $ \pm $ 0.00,0.04 $ \pm $ 0.00,0.06 $ \pm $ 0.00,0.05 $ \pm $ 0.00
0.04 $ \pm $ 0.00,0.09 $ \pm $ 0.00,0.12 $ \pm $ 0.01,0.10 $ \pm $ 0.00
