0.08 $ \pm $ 0.01,0.12 $ \pm $ 0.01,0.18 $ \pm $ 0.01,0.20 $ \pm $ 0.01
0.16 $ \pm $ 0.01,0.23 $ \pm $ 0.01,0.37 $ \pm $ 0.02,0.41 $ \pm $ 0.02
