73.78 $ \pm $ 6.19,74.67 $ \pm $ 7.65,74.22 $ \pm $ 7.52,74.67 $ \pm $ 9.06
72.44 $ \pm $ 7.77,75.11 $ \pm $ 6.50,74.67 $ \pm $ 8.15,76.00 $ \pm $ 8.93
