86.52 $ \pm $ 2.36,85.65 $ \pm $ 1.86,86.38 $ \pm $ 1.68,86.38 $ \pm $ 1.68
86.67 $ \pm $ 2.27,86.96 $ \pm $ 1.02,86.23 $ \pm $ 2.00,86.23 $ \pm $ 2.00
