0.06 $ \pm $ 0.00,0.15 $ \pm $ 0.01,0.19 $ \pm $ 0.00,0.18 $ \pm $ 0.01
0.12 $ \pm $ 0.00,0.30 $ \pm $ 0.01,0.38 $ \pm $ 0.01,0.38 $ \pm $ 0.01
