60.00 $ \pm $ 12.25,75.00 $ \pm $ 27.39,75.00 $ \pm $ 27.39,55.00 $ \pm $ 18.71
60.00 $ \pm $ 12.25,75.00 $ \pm $ 27.39,75.00 $ \pm $ 27.39,55.00 $ \pm $ 18.71
