82.58 $ \pm $ 3.29,81.29 $ \pm $ 3.76,82.58 $ \pm $ 4.83,82.58 $ \pm $ 1.58
85.16 $ \pm $ 2.58,84.52 $ \pm $ 1.29,80.65 $ \pm $ 5.40,81.94 $ \pm $ 4.38
