0.01 $ \pm $ 0.00,0.02 $ \pm $ 0.00,0.02 $ \pm $ 0.00,0.02 $ \pm $ 0.00
0.01 $ \pm $ 0.00,0.03 $ \pm $ 0.00,0.05 $ \pm $ 0.00,0.04 $ \pm $ 0.00
